@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
29850	family	2706|4753|5044|29849|29850	Eukaryota|Ascomycota|Sordariomycetes|Magnaporthales|Magnaporthaceae	0.1345643508645584
5499	family	2706|4753|5014|5473|5499	Eukaryota|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae	0.13240320279067017
5281	family	2706|4970|5032|5280|5281	Eukaryota|Basidiomycota|Exobasidiomycetes|Georgefischeriales|Tilletiariaceae	0.11959205367580844
5002	family	2706|4970|4996|5001|5002	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae	0.1112347298091657
5149	family	2706|4753|5044|5139|5149	Eukaryota|Ascomycota|Sordariomycetes|Sordariales|Chaetomiaceae	0.07955960707434623
5456	family	2706|4753|5044|5455|5456	Eukaryota|Ascomycota|Sordariomycetes|Glomerellales|Glomerellaceae	0.07558338434796276
5305	family	2706|4970|5218|5303|5305	Eukaryota|Basidiomycota|Agaricomycetes|Polyporales|Phanerochaetaceae	0.05810147286410223
5129	family	2706|4753|5044|5046|5129	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Hypocreaceae	0.05407590255684628
53396	family	2706|4753|5100|5178|53396	Eukaryota|Ascomycota|Leotiomycetes|Helotiales|Dermateaceae	0.052127317177421195
146292	family	2706|4753|4967|146291|146292	Eukaryota|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae	0.028458242435295523
5179	family	2706|4753|5100|5178|5179	Eukaryota|Ascomycota|Leotiomycetes|Helotiales|Sclerotiniaceae	0.012250831761037766
80594	family	2706|4970|5218|5368|80594	Eukaryota|Basidiomycota|Agaricomycetes|Boletales|Serpulaceae	0.011115930910574839
33179	family	2706|4753|4967|4968|33179	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae	0.006754134334873894
36048	family	2706|4753|5185|5186|36048	Eukaryota|Ascomycota|Pezizomycetes|Pezizales|Tuberaceae	0.005235316074647278
27335	family	2706|4753|5044|5455|27335	Eukaryota|Ascomycota|Sordariomycetes|Glomerellales|Plectosphaerellaceae	0.0044698893563392085
62131	family	2706|4753|5014|5473|62131	Eukaryota|Ascomycota|Dothideomycetes|Capnodiales|Teratosphaeriaceae	0.0018819597441589707
5094	family	2706|4753|4967|5042|5094	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Trichocomaceae	0.0018261015117217677
5550	family	2706|4753|4967|4968|5550	Eukaryota|Ascomycota|Eurotiomycetes|Onygenales|Arthrodermataceae	0.0006027010857633901
47021	family	2706|4753|13348|13349|47021	Eukaryota|Ascomycota|Orbiliomycetes|Orbiliales|Orbiliaceae	0.0004566023883777416
5020	family	2706|4753|5014|5015|5020	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Phaeosphaeriaceae	0.00024583968160214634
5552	family	2706|4970|4972|5417|5552	Eukaryota|Basidiomycota|Tremellomycetes|Trichosporonales|Trichosporonaceae	0.00018640095301209532
43220	genus	2706|4753|4967|5583|5584|43220	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae|Capronia	51.95033471934886
46583	genus	2706|4753|4891|4892|4920|46583	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Candida tanzawaensis clade	29.96395160640785
27288	genus	2706|4753|4891|4892|4893|27288	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Naumovozyma	5.979415002434026
4919	genus	2706|4753|4891|4892|4909|4919	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Pichiaceae|Pichia	3.6994743598894244
27293	genus	2706|4753|4891|4892|4893|27293	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Kazachstania	1.537050892988059
4930	genus	2706|4753|4891|4892|4893|4930	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces	0.9105701073918471
5053	genus	2706|4753|4967|5042|5052|5053	Eukaryota|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Aspergillus	0.6619516392760355
5017	genus	2706|4753|5014|5015|5016|5017	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Bipolaris	0.6239539028790078
5207	genus	2706|4970|4972|4973|4975|5207	Eukaryota|Basidiomycota|Tremellomycetes|Tremellales|Cryptococcaceae|Cryptococcus neoformans species complex	0.5481132398869298
42067	genus	2706|4753|4754||38082|42067	Eukaryota|Ascomycota|Pneumocystidomycetes|Unclassified|Pneumocystidaceae|Pneumocystis	0.49820860360204694
