taxon_id	name
1906317	Grapevine geminivirus A
28353	Bean common mosaic virus
46021	Paramecium bursaria Chlorella virus NY2A
1560034	Tupaia virus
1340812	Synechococcus phage S-MbCM100
1054968	Salmonella phage 7-11
37127	Citrus variegation virus
1404345	Acheta domestica mini ambidensovirus
1840528	Sclerotinia sclerotiorum mycoreovirus 4
64320	Zika virus
10662	Myoviridae
1087482	S16virus
12008	Allolevivirus
2023155	Metallosphaera turreted icosahedral virus
12269	Fabavirus
1936269	Helicoverpa armigera iflavirus
10719	Streptomyces virus phiC31
1708712	Rosellinia necatrix endornavirus 1
1195365	Mischivirus
12542	Omsk hemorrhagic fever virus
38062	Cavemovirus
167021	Pelargonium chlorotic ring pattern virus
10886	Mammalian orthoreovirus 3
10778	Bacillus virus B103
1128118	Parrot hepatitis B virus
185955	Hibiscus latent Singapore virus
11656	Bovine lentivirus group
354328	Bell pepper alphaendornavirus
1968887	Squirrel adenovirus 1
1636203	unclassified Phietalikevirus
11069	Dengue virus 3
11060	Dengue virus 2
11053	Dengue virus 1
1926511	Livupivirus A
11070	Dengue virus 4
1327762	Mycobacterium phage Astraea
406340	Ralstonia phage RSA1
994601	Planktothrix phage PaV-LD
1168613	Staphylococcus phage TEM123
310750	Phytophthora alphaendornavirus 1
1458859	Shewanella sp. phage 1/4
1500816	Propionibacterium phage PHL116M00
446529	Microbacterium phage Min1
1755290	Indian encephalitis associated cyclovirus
667119	Velvet bean severe mosaic virus
1941437	Avon-Heathcote estuary associated bacilladnavirus
1400425	Bowe virus
1815957	Pseudomonas phage phiMK
1647455	Salmonella phage SEN1
1647465	Salmonella phage SEN4
1647466	Salmonella phage SEN5
1344113	American bat vesiculovirus TFFN-2013
320856	Bidens mosaic virus
1187894	Clostridium phage PhiS63
642493	Malvastrum yellow vein Baoshan virus
1109714	Rhodococcus phage REQ3
1109713	Rhodococcus phage REQ2
1109712	Rhodococcus phage REQ1
1383054	Mycobacterium phage Wheeler
1922636	Beihai picorna-like virus 9
1525173	Human circovirus VS6600022
1926997	Bivalve RNA virus G4
1926968	Bivalve RNA virus G5
1926996	Bivalve RNA virus G2
1926969	Bivalve RNA virus G3
1926967	Bivalve RNA virus G1
1985164	Spinach amalgavirus 1
10623	Kappapapillomavirus
354350	unclassified Aureusvirus
1195073	Burkholderia virus Bcepmigl
