#tax_id	genomic_nucleotide_accession.version
5467	NW_023503126.1
5467	NW_023503127.1
5467	NW_023503128.1
5467	NW_023503129.1
5467	NW_023503130.1
5467	NW_023503131.1
5467	NW_023503132.1
5467	NW_023503133.1
5467	NW_023503134.1
5467	NW_023503135.1
5467	NW_023503136.1
5467	NW_023503137.1
5467	NW_023503138.1
5467	NW_023503139.1
5467	NW_023503140.1
5467	NW_023503141.1
5467	NW_023503142.1
5467	NW_023503143.1
5467	NW_023503144.1
5467	NW_023503145.1
5467	NW_023503146.1
5467	NW_023503147.1
5467	NW_023503148.1
5467	NW_023503149.1
5467	NW_023503150.1
5467	NW_023503151.1
5467	NW_023503152.1
5467	NW_023503153.1
5467	NW_023503154.1
5467	NW_023503155.1
5476	NC_018046.1
5478	NC_005967.2
5478	NC_005968.1
5478	NC_006026.1
5478	NC_006027.1
5478	NC_006028.2
5478	NC_006029.1
5478	NC_006030.1
5478	NC_006031.1
5478	NC_006032.2
5478	NC_006033.2
5478	NC_006034.2
5478	NC_006035.2
5478	NC_006036.2
5479	NC_013830.1
5480	NC_005253.2
5480	NW_023503278.1
5480	NW_023503281.1
5480	NW_023503279.1
5480	NW_023503283.1
5480	NW_023503282.1
5480	NW_023503277.1
5480	NW_023503284.1
5480	NW_023503280.1
5481	NW_022995054.1
5481	NW_022995055.1
5481	NW_022995058.1
5481	NW_022995059.1
5481	NW_022995060.1
5481	NW_022995061.1
5481	NW_022995062.1
5481	NW_022995063.1
5481	NW_022995064.1
5481	NW_022995068.1
5481	NW_022995069.1
5481	NW_022995070.1
5481	NW_022995071.1
5481	NW_022995072.1
5481	NW_022995073.1
5481	NW_022995075.1
5481	NW_022995076.1
5481	NW_022995077.1
5481	NW_022995079.1
5481	NW_022995080.1
5481	NW_022995081.1
5481	NW_022995083.1
5481	NW_022995084.1
5481	NW_022995085.1
5481	NW_022995086.1
5481	NW_022995087.1
5481	NW_022995088.1
5481	NW_022995089.1
5481	NW_022995091.1
5481	NW_022995092.1
5481	NW_022995094.1
5481	NW_022995096.1
5481	NW_022995098.1
5481	NW_022995100.1
5481	NW_022995101.1
5481	NW_022995102.1
5481	NW_022995103.1
5481	NW_022995106.1
5481	NW_022995107.1
5481	NW_022995108.1
5481	NW_022995109.1
5481	NW_022995114.1
5481	NW_022995115.1
5481	NW_022995116.1
5481	NW_022995117.1
5481	NW_022995119.1
5481	NW_022995120.1
5481	NW_022995122.1
5481	NW_022995123.1
5481	NW_022995126.1
5481	NW_022995130.1
5481	NW_022995131.1
5481	NW_022995132.1
5481	NW_022995133.1
5481	NW_022995135.1
5481	NW_022995136.1
5481	NW_022995140.1
5481	NW_022995142.1
5481	NW_022995145.1
5481	NW_022995146.1
5481	NW_022995148.1
5481	NW_022995150.1
5481	NW_022995151.1
5481	NW_022995152.1
5481	NW_022995153.1
5481	NW_022995154.1
5481	NW_022995155.1
5481	NW_022995156.1
